# Источник: рейтинговое агентство RAEX (РАЭКС-Аналитика) https://raex-a.ru/rankings/school/2019#school_6
# Таблица 6. Рейтинг школ по количеству выпускников, поступивших в ведущие вузы России
# Место	Название	Субъект федерации	Город	Балл
1 	Лицей НИУ ВШЭ 	Москва 	Москва 	1000,00
169 	Лицей № 35 	Татарстан республика 	Нижнекамск 	75,58
170 	Школа № 2005 	Москва 	Москва 	75,33
171 	Московская международная школа 	Москва 	Москва 	74,93
172 	Гимназия № 3 в Академгородке 	Новосибирская область 	Новосибирск 	74,88
173 	Романовская школа 	Москва 	Москва 	74,72
174 	Газпром школа 	Москва 	Москва 	74,52
175 	Лицей № 2 	Кабардино-Балкария республика 	Нальчик 	73,84
176 	Классический лицей № 1 	Ростовская область 	Ростов-на-Дону 	73,77
177 	Школа № 2009 	Москва 	Москва 	73,46
178 	Школа № 1358 	Москва 	Москва 	73,31
179 	Медицинский Сеченовский Предуниверсарий 	Москва 	Москва 	72,37
180 	Лицей № 11 	Челябинская область 	Челябинск 	72,33
181 	Школа № 1563 	Москва 	Москва 	72,18
182 	Школа № 2114 	Москва 	Москва 	72,16
183 	Экономический лицей РЭУ им. Г.В. Плеханова 	Москва 	Москва 	71,63
184 	Школа на Проспекте Вернадского 	Москва 	Москва 	71,56
185 	Школа №2098 "Многопрофильный образовательный центр" имени Героя Советского Союза Л.М Доватора 	Москва 	Москва 	71,55
186 	Школа № 1239 	Москва 	Москва 	71,39
187 	Школа № 1811 "Восточное Измайлово" 	Москва 	Москва 	71,27
188 	СОШ № 39 с углубленным изучением английского языка 	Татарстан республика 	Казань 	71,23
189 	Средняя школа № 149 	Красноярский край 	Красноярск 	71,21
190 	Лицей № 22 "Надежда Сибири" 	Новосибирская область 	Новосибирск 	71,02
191 	Школа № 1284 	Москва 	Москва 	70,32
192 	Школа № 2097 	Москва 	Москва 	70,21
193 	Лицей № 1 	Красноярский край 	Красноярск 	70,03
194 	Школа № 1223 	Москва 	Москва 	69,83
195 	Гимназия № 42 	Алтайский край 	Барнаул 	69,80
196 	Гимназия № 5 	Чувашия республика 	Чебоксары 	69,74
197 	Одинцовский лицей № 10 	Московская область 	Одинцово 	69,57
198 	Средняя школа № 145 	Красноярский край 	Красноярск 	69,28
199 	Центр образования и спорта "Москва-98" 	Москва 	Москва 	69,05
200 	Аничков Лицей (Дворец творчества юных) 	Санкт-Петербург 	Санкт-Петербург 	68,97
201 	Школа № 1468 	Москва 	Москва 	68,96
202 	Лицей № 180 "Полифорум" 	Свердловская область 	Екатеринбург 	68,88
203 	Лицей 	Ханты-Мансийский автономный округ - Югра  	Нижневартовск 	68,54
204 	МАОУ "Лицей", г. Балашиха 	Московская область 	Балашиха 	68,51
205 	Школа № 1411 	Москва 	Москва 	68,47
206 	Физико-математический лицей 	Московская область 	Сергиев Посад 	68,20
207 	Школа на Яузе 	Москва 	Москва 	68,05
208 	Средняя школа № 150 	Красноярский край 	Красноярск 	67,64
209 	Школа № 1208 имени Героя Советского Союза М.С. Шумилова 	Москва 	Москва 	67,15
210 	Лицей № 9 	Новосибирская область 	Новосибирск 	67,14
211 	Школа Марьина Роща имени В.Ф. Орлова 	Москва 	Москва 	66,97
212 	Гимназия г. Раменское 	Московская область 	Раменское 	66,45
213 	Лицей № 6 "Перспектива" 	Красноярский край 	Красноярск 	66,05
214 	Школа № 1573 	Москва 	Москва 	66,04
215 	Гимназия № 4 	Новосибирская область 	Новосибирск 	65,57
216 	Школа № 1793 имени Героя Советского Союза А.К. Новикова 	Москва 	Москва 	65,20
217 	Школа № 1279 	Москва 	Москва 	65,09
218 	Лицей классического элитарного образования 	Ростовская область 	Ростов-на-Дону 	64,68
219 	Лицей № 29 	Тамбовская область 	Тамбов 	64,66
220 	Школа № 15 	Москва 	Москва 	64,33
221 	Гимназия № 7 имени Героя России А.В. Козина 	Татарстан республика 	Казань 	64,23
222 	Лицей № 41 	Удмуртия республика 	Ижевск 	64,02
223 	Школа № 1524 	Москва 	Москва 	63,30
224 	Школа № 1251 имени генерала Шарля де Голля 	Москва 	Москва 	63,18
225 	Марьинская школа № 1566 памяти Героев Сталинградской битвы 	Москва 	Москва 	63,17
226 	Школа № 1273 	Москва 	Москва 	63,05
227 	Пансион воспитанниц Министерства обороны РФ 	Москва 	Москва 	62,94
228 	Гимназия № 39 	Башкортостан республика 	Уфа 	62,75
229 	Политехнический лицей-интернат 	Марий Эл республика 	Йошкар-Ола 	62,74
230 	Гимназия № 17 	Пермский край 	Пермь 	62,72
231 	школа № 7 с углубленным изучением отдельных предметов 	Свердловская область 	Первоуральск 	62,65
232 	Школа № 1293 	Москва 	Москва 	62,47
233 	Школа № 1440 	Москва 	Москва 	62,38
234 	Школа № 853 	Москва 	Москва 	62,29
235 	Измайловская школа № 1508 	Москва 	Москва 	62,21
236 	СОШ № 18 с углубленным изучением английского языка 	Татарстан республика 	Казань 	62,09
237 	Школа № 144 	Красноярский край 	Красноярск 	62,03
238 	Лицей № 135 	Свердловская область 	Екатеринбург 	62,03
239 	Школа № 1212 	Москва 	Москва 	61,81
240 	Лицей № 2 имени Б.А. Слободскова 	Тульская область 	Тула 	61,79
241 	ЧОУ СОШ "Ломоносовская школа" 	Москва 	Москва 	19,89
242 	Лицей № 33 	Ивановская область 	Иваново 	61,75
243 	Школа № 1205 	Москва 	Москва 	61,73
244 	Школа № 641 имени Сергея Есенина 	Москва 	Москва 	61,63
245 	Вятская гуманитарная гимназия 	Кировская область 	Киров 	61,44
246 	Элистинская многопрофильная гимназия личностно ориентированного обучения и воспитания 	Калмыкия республика 	Элиста 	61,26
247 	Средняя школа № 143 имени Герой Советскго Союза Тимошенко А.В. 	Красноярский край 	Красноярск 	61,03
248 	Школа № 1420 	Москва 	Москва 	61,00
249 	Школа № 1544 	Москва 	Москва 	60,98
250 	Лицей № 124 	Алтайский край 	Барнаул 	60,83
251 	Гимназия № 2 	Красноярский край 	Красноярск 	60,79
252 	Гимназия № 36 	Ростовская область 	Ростов-на-Дону 	60,65
253 	Гимназия № 1 	Башкортостан республика 	Стерлитамак 	60,35
